Brand,rating,price
Puma,4,2999.00
Puma,4.4,4699.00
Puma,4.2,2399.00
Puma,4,4999.00
Puma,4,1849.00
Puma,4.3,1609.00
Puma,3.5,3499.00
Puma,4.1,2679.00
Puma,3.7,1759.00
Puma,3.5,3499.00
Puma,4.1,2679.00
Puma,3.7,1759.00
Puma,4.6,2309.00
Puma,4.1,2219.00
Puma,3.8,3149.00
Puma,4.1,4549.00
Puma,5,4799.00
Puma,5,14999.00
Puma,4.3,1499.00
Puma,3.1,4999.00
Puma,4.3,0.00
Puma,4.1,2799.00
Puma,4.2,1599.00
Puma,4,2689.00
Puma,4.1,2249.00
Puma,4,1809.00
Puma,4,1799.00
Puma,4.1,2059.00
Puma,3.9,3899.00
Puma,4,2074.00
Puma,3.8,1199.00
Puma,3.9,2368.00
Puma,4.1,2019.00
Puma,4.3,1520.00
Puma,4.4,2799.00
Puma,4,2729.00
Puma,4.3,1919.00
Puma,3.8,3149.00
Puma,4.2,3463.00
Puma,4,3999.00
Puma,3.9,1899.00
Puma,5,3499.00
Puma,4,2499.00
Puma,4.3,1649.00
Puma,3.7,0.00
Puma,4,4495.00
Puma,4.2,2566.00
Puma,3.7,0.00
Puma,3.9,3249.00
Puma,4.1,1399.00
Puma,4.7,3249.00
Puma,3.8,3009.00
Puma,3.6,2059.00
Puma,3.4,4399.00
Puma,3.8,2469.00
Puma,4.4,2099.00
Puma,3.6,1693.00
Puma,4,1585.00
Puma,4.2,3329.00
Puma,4.3,2999.00
Puma,4.4,2999.00
Puma,3.9,4319.00
Puma,4.1,2079.00
Puma,4.2,3600.00
Puma,4,3499.00
Puma,3.8,5999.00
Puma,4.1,3149.00
Puma,4.1,1609.00
Puma,3.7,2600.00
Puma,3.9,2309.00
Puma,4.4,3199.00
Puma,1.8,1999.00
Puma,3.8,2019.00
Puma,4.2,3134.00
Puma,4,3848.00
Puma,4.1,0.00
Puma,4.5,2999.00
Puma,4.4,3688.00
Puma,4.8,4049.00
Puma,3.3,4319.00
Puma,5,2799.00
Puma,4.1,1868.00
Puma,4.3,2694.00
Puma,4,2160.00
Puma,3.6,1800.00
Puma,4.3,0.00
Puma,4.2,1749.00
Puma,4,1809.00
Puma,3.8,2364.00
Puma,3.9,3999.00
Puma,3.8,2799.00
Puma,3.5,2255.00
Puma,4.3,1600.00
Puma,4.2,2019.00
Puma,4.3,1719.00
Reebok,4.1,1076.00
Reebok,3.9,2275.00
Reebok,4,1706.00
Reebok,4,1422.00
Reebok,3.8,1008.00
Reebok,3.9,1463.00
Reebok,3.6,1100.00
Reebok,4,1592.00
Reebok,4,2765.00
Reebok,3.6,1553.00
Reebok,4.1,2161.00
Reebok,4.1,1574.00
Reebok,3.6,1188.00
Reebok,3.8,1172.00
Reebok,3.9,1518.00
Reebok,3.2,2366.00
Reebok,4,1429.00
Reebok,4.1,0.00
Reebok,4.2,1965.00
Reebok,4,2025.00
Reebok,3.4,1479.00
Reebok,4,1589.00
Reebok,5,2048.00
Reebok,3.9,1247.00
Reebok,4.4,2446.00
Reebok,3.6,2094.00
Reebok,4.3,2730.00
Reebok,4,1617.00
Reebok,4,1428.00
Reebok,4.8,2161.00
Reebok,3.6,2111.00
Reebok,3.5,2178.00
Reebok,4.1,1532.00
Reebok,3.6,1741.00
Reebok,4,1413.00
Reebok,4.4,2048.00
Reebok,3.7,1254.00
